SNID,IAUC,FAKE,RA,DECL,PIXSIZE,SNTYPE,NOBS,PTROBS_MIN,PTROBS_MAX,MWEBV,MWEBV_ERR,REDSHIFT_HELIO,REDSHIFT_HELIO_ERR,REDSHIFT_FINAL,REDSHIFT_FINAL_ERR,HOSTGAL_OBJID,HOSTGAL_PHOTOZ,HOSTGAL_PHOTOZ_ERR,HOSTGAL_SNSEP,PEAKMJD,SEARCH_TYPE
13779       ,UNKNOWN ,0,-11.992218,-0.644459,0.40000000596,0,105,602964,603068,0.0482000000775,0.00800000037998,-9.0,-9.0,-9.0,-9.0,1237663783118373632,0.246099993587,-9.0,2.27200007439,53991.0,0
13780       ,UNKNOWN ,0,-9.702454,-0.774851,0.40000000596,103,104,603070,603173,0.0379000008106,0.0063000000082,-9.0,-9.0,-9.0,-9.0,1237663783119421952,0.375800013542,-9.0,0.583999991417,53991.0,103
13781       ,UNKNOWN ,0,-4.914124,-0.702884,0.40000000596,104,119,603175,603293,0.0329000018537,0.0054999999702,0.179111003876,3.40000005963e-05,0.177678003907,3.40000005963e-05,1237663783121518848,-9.0,-9.0,0.437999993563,53983.0,104
13782       ,UNKNOWN ,0,-0.580994,-0.692676,0.40000000596,0,114,603295,603408,0.033100001514,0.0054999999702,0.187567993999,5.09999990754e-05,0.186141997576,5.09999990754e-05,1237663783123419392,0.156399995089,-9.0,0.324999988079,53958.0,0
13784       ,UNKNOWN ,0,4.200359,-0.817725,0.40000000596,103,108,603410,603517,0.0291000008583,0.00480000022799,-9.0,-9.0,-9.0,-9.0,-9,-9.0,-9.0,-9.0,53999.0,103
13785       ,UNKNOWN ,0,8.558285,-0.673945,0.40000000596,103,110,603519,603628,0.0226000007242,0.00380000006407,-9.0,-9.0,-9.0,-9.0,-9,-9.0,-9.0,-9.0,53976.0,103
13786       ,UNKNOWN ,0,9.584402,-0.754535,0.40000000596,103,109,603630,603738,0.0232999995351,0.0038999998942,-9.0,-9.0,-9.0,-9.0,-9,-9.0,-9.0,-9.0,54002.0,103
13787       ,UNKNOWN ,0,10.069947,-0.684927,0.40000000596,106,114,603740,603853,0.022199999541,0.00370000000112,0.564900994301,0.000117000003229,0.563124001026,0.000117000003229,1237663783128072704,0.112999998033,-9.0,1.69599997997,54000.0,106
13789       ,UNKNOWN ,0,10.947293,-0.710029,0.40000000596,5,114,603855,603968,0.019200000912,0.00319999991916,0.111523002386,7.9999999798e-06,0.110269002616,7.9999999798e-06,1237663783128465408,0.0860999971628,-9.0,0.603999972343,54089.0,5
13793       ,UNKNOWN ,0,-13.27063,0.477502,0.40000000596,110,105,603970,604074,0.0520999990404,0.00870000012219,1.0894099474,0.000357000011718,1.08684504032,0.000357000011718,1237663277921927680,-9.0,-9.0,0.149000003934,54030.0,110
